name,date,group,speed,var b,label
Quad-core +_GPU_Core i7,2011,,1160000000.00,50,
Six-core_Core i7_(Gulftown),2010,,1170000000.00,50,
8-core_POWER7_32M L3,2010,,1200000000.00,50,
8-core_AMD Bulldozer,2012,,1200000000.00,50,
Quad-core + GPU_AMD Trinity,2012,,1303000000.00,50,
Quad-core_z196[23],2010,,1400000000.00,50,
Quad-core + GPU_Core i7 Ivy Bridge,2012,,1400000000.00,50,
Quad-core + GPU_Core i7 Haswell,2014,,1400000000.00,50,
Dual-core_Itanium 2,2006,,1700000000.00,50,
Quad-core + GPU GT2_Core i7 Skylake K,2015,,1750000000.00,50,
Six-core_Core i7 Ivy Bridge E,2013,,1860000000.00,50,
Six-core_Xeon_7400,2008,,1900000000.00,50,
Dual-core + GPU Iris_Core i7 Broadwell-U,2015,,1900000000.00,50,
Quad-core Itanium_Tukwila,2010,,2000000000.00,50,
"Apple A8_(dual-core ARM64 ""mobile SoC"")",2014,,2000000000.00,50,
8-core_POWER7+_80_MB L3 cache,2012,,2100000000.00,50,
Six-core_Core i7/8-core Xeon E5,2011,,2270000000.00,50,
8-core_Xeon_Nehalem-EX,2010,,2300000000.00,50,
8-core_Core i7 Haswell-E,2014,,2600000000.00,50,
10-core_Xeon_Westmere-EX,2011,,2600000000.00,50,
Sixx-core zEC12,2012,highlight,2750000000.00,50,yes
"Qualcomm Snapdragon 835_(octa-core ARM64 ""mobile SoC"")",2016,,3000000000.00,50,
"Apple A8X_(tri-core ARM64 ""mobile SoC"")",2014,,3000000000.00,50,
8-core Itanium_Poulson,2012,,3100000000.00,50,
10-cor Core i7 Broadwell-E,2016,highlight,3200000000.00,50,yes
"Apple A10 Fusion_(quad-core ARM64 ""mobile SoC"")",2016,,3300000000.00,50,
IBM z13,2015,,3990000000.00,50,
12-core_POWER8,2013,,4200000000.00,50,
"Apple A11 Bionic_(hexa-core ARM64 ""mobile SoC"")",2017,,4300000000.00,50,
15-core Xeon Ivy Bridge-EX,2014,,4310000000.00,50,
8-core_Ryzen,2017,,4800000000.00,50,
Xbox One_main SoC,2013,,5000000000.00,50,
61-core_Xeon Phi,2012,,5000000000.00,50,
18-core_Xeon Haswell-E5,2014,,5560000000.00,50,
IBM z14,2017,,6100000000.00,50,
Xbox One X (Project Scorpio)_main SoC,2017,,7000000000.00,50,
IBM z13 Storage Controller,2015,,7100000000.00,50,
22-core_Xeon Broadwell-E5,2016,,7200000000.00,50,
POWER9,2017,,8000000000.00,50,
72-core_Xeon Phi,2016,,8000000000.00,50,
IBM z14 Storage Controller,2017,,9700000000.00,50,
32-core_SPARC_M7,2015,,10000000000.00,50,
Centriq_2400,2017,,18000000000.00,50,
32-core AMD Epyc,2017,highlight,19200000000.00,50,yes
