date,Facebook share price,Imaginary Inc share price
28/04/2014,56.14,28.07
29/04/2014,58.15,29.075
30/04/2014,59.78,29.89
01/05/2014,61.15,30.575
02/05/2014,60.46,30.23
05/05/2014,61.22,30.61
06/05/2014,58.53,29.265
07/05/2014,57.39,28.695
08/05/2014,56.76,28.38
09/05/2014,57.24,28.62
12/05/2014,59.83,29.915
13/05/2014,59.83,29.915
14/05/2014,59.23,29.615
15/05/2014,57.919,28.9595
16/05/2014,58.0199,29.00995
19/05/2014,59.21,29.605
20/05/2014,58.56,29.28
21/05/2014,60.49,30.245
22/05/2014,60.52,30.26
23/05/2014,61.351,30.6755
26/05/2014,61.351,30.6755
27/05/2014,63.48,31.74
28/05/2014,63.51,31.755
29/05/2014,63.83,31.915
30/05/2014,63.3,31.65
02/06/2014,63.08,31.54
03/06/2014,62.87,31.435
04/06/2014,63.34,31.67
05/06/2014,63.186,31.593
06/06/2014,62.5,31.25
09/06/2014,62.88,31.44
10/06/2014,65.77,32.885
11/06/2014,65.781,32.8905
12/06/2014,64.2901,32.14505
13/06/2014,64.5,32.25
16/06/2014,64.19,32.095
17/06/2014,64.4,32.2
18/06/2014,65.6,32.8
19/06/2014,64.3415,32.17075
20/06/2014,64.5,32.25
23/06/2014,65.37,32.685
24/06/2014,65.72,32.86
25/06/2014,67.44,33.72
26/06/2014,67.13,33.565
27/06/2014,67.6,33.8
30/06/2014,67.29,33.645
01/07/2014,68.06,34.03
02/07/2014,66.45,33.225
03/07/2014,66.29,33.145
04/07/2014,66.29,33.145
07/07/2014,65.29,32.645
08/07/2014,62.76,31.38
09/07/2014,64.97,32.485
10/07/2014,64.8725,32.43625
11/07/2014,66.34,33.17
14/07/2014,67.9,33.95
15/07/2014,67.165,33.5825
16/07/2014,67.66,33.83
17/07/2014,66.4099,33.20495
18/07/2014,68.4199,34.20995
21/07/2014,69.4,34.7
22/07/2014,69.27,34.635
23/07/2014,71.29,35.645
24/07/2014,74.98,37.49
25/07/2014,75.19,37.595
28/07/2014,74.92,37.46
29/07/2014,73.71,36.855
30/07/2014,74.677,37.3385
31/07/2014,72.65,36.325
01/08/2014,72.36,36.18
04/08/2014,73.51,36.755
05/08/2014,72.69,36.345
06/08/2014,72.47,36.235
07/08/2014,73.17,36.585
08/08/2014,73.06,36.53
11/08/2014,73.44,36.72
12/08/2014,72.83,36.415
13/08/2014,73.77,36.885
14/08/2014,74.296,37.148
15/08/2014,73.63,36.815
18/08/2014,74.59,37.295
19/08/2014,75.29,37.645
20/08/2014,74.81,37.405
21/08/2014,74.57,37.285
22/08/2014,74.57,37.285
25/08/2014,75.02,37.51
26/08/2014,75.9601,37.98005
27/08/2014,74.63,37.315
28/08/2014,73.855,36.9275
29/08/2014,74.82,37.41
01/09/2014,74.82,37.41
02/09/2014,76.68,38.34
03/09/2014,75.83,37.915
04/09/2014,75.95,37.975
05/09/2014,77.26,38.63
08/09/2014,77.89,38.945
09/09/2014,76.67,38.335
10/09/2014,77.43,38.715
11/09/2014,77.92,38.96
12/09/2014,77.48,38.74
15/09/2014,74.58,37.29
16/09/2014,76.08,38.04
17/09/2014,76.43,38.215
18/09/2014,77,38.5
19/09/2014,77.91,38.955
22/09/2014,76.8,38.4
23/09/2014,78.29,39.145
24/09/2014,78.535,39.2675
25/09/2014,77.22,38.61
26/09/2014,78.79,39.395
29/09/2014,79,39.5
30/09/2014,79.04,39.52
01/10/2014,76.55,38.275
02/10/2014,77.08,38.54
03/10/2014,77.44,38.72
06/10/2014,77.555,38.7775
07/10/2014,76.29,38.145
08/10/2014,77.52,38.76
09/10/2014,75.91,37.955
10/10/2014,72.91,36.455
13/10/2014,72.99,36.495
14/10/2014,73.59,36.795
15/10/2014,73.21,36.605
16/10/2014,72.63,36.315
17/10/2014,75.95,37.975
20/10/2014,76.95,38.475
21/10/2014,78.69,39.345
22/10/2014,78.37,39.185
23/10/2014,80.04,40.02
24/10/2014,80.67,40.335
27/10/2014,80.28,40.14
28/10/2014,80.77,40.385
29/10/2014,75.86,37.93
30/10/2014,74.11,37.055
31/10/2014,74.99,37.495
03/11/2014,73.88,36.94
04/11/2014,75.76,37.88
05/11/2014,74.83,37.415
06/11/2014,75.26,37.63
07/11/2014,75.6,37.8
10/11/2014,75,37.5
11/11/2014,74.61,37.305
12/11/2014,74.72,37.36
13/11/2014,74.25,37.125
14/11/2014,74.88,37.44
17/11/2014,74.24,37.12
18/11/2014,74.34,37.17
19/11/2014,73.33,36.665
20/11/2014,73.6,36.8
21/11/2014,73.75,36.875
24/11/2014,74.01,37.005
25/11/2014,75.63,37.815
26/11/2014,77.62,38.81
27/11/2014,77.62,38.81
28/11/2014,77.7,38.85
01/12/2014,75.1,37.55
02/12/2014,75.46,37.73
03/12/2014,74.88,37.44
04/12/2014,75.24,37.62
05/12/2014,76.36,38.18
08/12/2014,76.52,38.26
09/12/2014,76.84,38.42
10/12/2014,76.18,38.09
11/12/2014,77.73,38.865
12/12/2014,77.83,38.915
15/12/2014,76.99,38.495
16/12/2014,74.69,37.345
17/12/2014,76.11,38.055
18/12/2014,78.4,39.2
19/12/2014,79.88,39.94
22/12/2014,81.45,40.725
23/12/2014,80.61,40.305
24/12/2014,80.77,40.385
25/12/2014,80.77,40.385
26/12/2014,80.775,40.3875
29/12/2014,80.02,40.01
30/12/2014,79.22,39.61
31/12/2014,78.02,39.01
01/01/2015,78.02,39.01
02/01/2015,78.45,39.225
05/01/2015,77.19,38.595
06/01/2015,76.15,38.075
07/01/2015,76.15,38.075
08/01/2015,78.175,39.0875
09/01/2015,77.74,38.87
12/01/2015,76.72,38.36
13/01/2015,76.45,38.225
14/01/2015,76.28,38.14
15/01/2015,74.05,37.025
16/01/2015,75.18,37.59
19/01/2015,75.18,37.59
20/01/2015,76.24,38.12
21/01/2015,76.74,38.37
22/01/2015,77.65,38.825
23/01/2015,77.83,38.915
26/01/2015,77.495,38.7475
27/01/2015,75.78,37.89
28/01/2015,76.24,38.12
29/01/2015,78,39
30/01/2015,75.91,37.955
02/02/2015,74.99,37.495
03/02/2015,75.4,37.7
04/02/2015,75.63,37.815
05/02/2015,75.615,37.8075
06/02/2015,74.47,37.235
09/02/2015,74.44,37.22
10/02/2015,75.19,37.595
11/02/2015,76.51,38.255
12/02/2015,76.23,38.115
13/02/2015,75.74,37.87
16/02/2015,75.74,37.87
17/02/2015,75.6,37.8
18/02/2015,76.71,38.355
19/02/2015,79.42,39.71
20/02/2015,79.895,39.9475
23/02/2015,78.84,39.42
24/02/2015,78.45,39.225
25/02/2015,79.56,39.78
26/02/2015,80.41,40.205
27/02/2015,78.97,39.485
02/03/2015,79.75,39.875
03/03/2015,79.6,39.8
04/03/2015,80.895,40.4475
05/03/2015,81.21,40.605
06/03/2015,80.005,40.0025
09/03/2015,79.44,39.72
10/03/2015,77.55,38.775
11/03/2015,77.57,38.785
12/03/2015,78.93,39.465
13/03/2015,78.05,39.025
16/03/2015,78.07,39.035
17/03/2015,79.365,39.6825
18/03/2015,80.91,40.455
19/03/2015,82.75,41.375
20/03/2015,83.8,41.9
23/03/2015,84.43,42.215
24/03/2015,85.31,42.655
25/03/2015,82.92,41.46
26/03/2015,83.01,41.505
27/03/2015,83.3,41.65
30/03/2015,83.195,41.5975
31/03/2015,82.215,41.1075
01/04/2015,81.665,40.8325
02/04/2015,81.555,40.7775
03/04/2015,81.555,40.7775
06/04/2015,82.44,41.22
07/04/2015,82.32,41.16
08/04/2015,82.275,41.1375
09/04/2015,82.17,41.085
10/04/2015,82.04,41.02
13/04/2015,83.01,41.505
14/04/2015,83.515,41.7575
15/04/2015,82.705,41.3525
16/04/2015,82.31,41.155
17/04/2015,80.775,40.3875
20/04/2015,83.09,41.545
21/04/2015,83.62,41.81
22/04/2015,84.63,42.315
23/04/2015,82.41,41.205
24/04/2015,81.53,40.765
27/04/2015,81.91,40.955
28/04/2015,80.68,40.34
29/04/2015,80.465,40.2325
30/04/2015,78.77,39.385
01/05/2015,78.99,39.495
04/05/2015,78.81,39.405
05/05/2015,77.56,38.78
06/05/2015,78.1,39.05
07/05/2015,78.425,39.2125
08/05/2015,78.51,39.255
11/05/2015,78.01,39.005
12/05/2015,77.46,38.73
13/05/2015,78.44,39.22
14/05/2015,81.37,40.685
15/05/2015,80.42,40.21
18/05/2015,80.88,40.44
19/05/2015,80.63,40.315
20/05/2015,80.55,40.275
21/05/2015,80.48,40.24
22/05/2015,80.54,40.27
25/05/2015,80.54,40.27
26/05/2015,79.335,39.6675
27/05/2015,80.55,40.275
28/05/2015,80.145,40.0725
29/05/2015,79.19,39.595
01/06/2015,80.29,40.145
02/06/2015,80.445,40.2225
03/06/2015,82.44,41.22
04/06/2015,82.05,41.025
05/06/2015,82.14,41.07
08/06/2015,80.67,40.335
09/06/2015,80.67,40.335
10/06/2015,82.16,41.08
11/06/2015,81.83,40.915
12/06/2015,81.53,40.765
15/06/2015,80.71,40.355
16/06/2015,81.06,40.53
17/06/2015,81.79,40.895
18/06/2015,82.905,41.4525
19/06/2015,82.51,41.255
22/06/2015,84.74,42.37
23/06/2015,87.88,43.94
24/06/2015,88.86,44.43
25/06/2015,87.98,43.99
26/06/2015,88.01,44.005
29/06/2015,85.8,42.9
30/06/2015,85.765,42.8825
01/07/2015,86.91,43.455
02/07/2015,87.285,43.6425
03/07/2015,87.285,43.6425
06/07/2015,87.55,43.775
07/07/2015,87.22,43.61
08/07/2015,85.65,42.825
09/07/2015,85.88,42.94
10/07/2015,87.95,43.975
13/07/2015,90.1,45.05
14/07/2015,89.68,44.84
15/07/2015,89.76,44.88
16/07/2015,90.85,45.425
17/07/2015,94.97,47.485
20/07/2015,97.91,48.955
21/07/2015,98.39,49.195
22/07/2015,97.04,48.52
23/07/2015,95.44,47.72
24/07/2015,96.95,48.475
27/07/2015,94.17,47.085
28/07/2015,95.29,47.645
29/07/2015,96.99,48.495
30/07/2015,95.21,47.605
31/07/2015,94.01,47.005
03/08/2015,94.14,47.07
04/08/2015,94.06,47.03
05/08/2015,96.44,48.22
06/08/2015,95.12,47.56
07/08/2015,94.3,47.15
10/08/2015,94.15,47.075
11/08/2015,93.62,46.81
12/08/2015,94.19,47.095
13/08/2015,93.43,46.715
14/08/2015,94.42,47.21
17/08/2015,93.93,46.965
18/08/2015,95.17,47.585
19/08/2015,95.31,47.655
20/08/2015,90.56,45.28
21/08/2015,86.06,43.03
24/08/2015,82.09,41.045
25/08/2015,83,41.5
26/08/2015,87.19,43.595
27/08/2015,89.73,44.865
28/08/2015,91.01,45.505
31/08/2015,89.43,44.715
01/09/2015,87.23,43.615
02/09/2015,89.89,44.945
03/09/2015,88.15,44.075
04/09/2015,88.26,44.13
07/09/2015,88.26,44.13
08/09/2015,89.53,44.765
09/09/2015,90.44,45.22
10/09/2015,91.98,45.99
11/09/2015,92.05,46.025
14/09/2015,92.31,46.155
15/09/2015,92.9,46.45
16/09/2015,93.45,46.725
17/09/2015,94.34,47.17
18/09/2015,94.4,47.2
21/09/2015,95.55,47.775
22/09/2015,92.96,46.48
23/09/2015,93.97,46.985
24/09/2015,94.41,47.205
25/09/2015,92.77,46.385
28/09/2015,89.21,44.605
29/09/2015,86.67,43.335
30/09/2015,89.9,44.95
01/10/2015,90.95,45.475
02/10/2015,92.07,46.035
05/10/2015,94.01,47.005
06/10/2015,92.8,46.4
07/10/2015,92.4,46.2
08/10/2015,92.47,46.235
09/10/2015,93.24,46.62
12/10/2015,94.26,47.13
13/10/2015,94.12,47.06
14/10/2015,94.07,47.035
15/10/2015,95.96,47.98
16/10/2015,97.54,48.77
19/10/2015,98.47,49.235
20/10/2015,97,48.5
21/10/2015,97.11,48.555
22/10/2015,99.67,49.835
23/10/2015,102.19,51.095
26/10/2015,103.77,51.885
27/10/2015,103.7,51.85
28/10/2015,104.2,52.1
29/10/2015,104.88,52.44
30/10/2015,101.97,50.985
02/11/2015,103.31,51.655
03/11/2015,102.58,51.29
04/11/2015,103.94,51.97
05/11/2015,108.76,54.38
06/11/2015,107.095,53.5475
09/11/2015,106.49,53.245
10/11/2015,107.91,53.955
11/11/2015,109.01,54.505
12/11/2015,108.02,54.01
13/11/2015,103.95,51.975
16/11/2015,104.04,52.02
17/11/2015,105.13,52.565
18/11/2015,107.77,53.885
19/11/2015,106.26,53.13
20/11/2015,107.32,53.66
23/11/2015,106.95,53.475
24/11/2015,105.74,52.87
25/11/2015,105.41,52.705
26/11/2015,105.41,52.705
27/11/2015,105.45,52.725
30/11/2015,104.24,52.12
01/12/2015,107.12,53.56
02/12/2015,106.07,53.035
03/12/2015,104.38,52.19
04/12/2015,106.18,53.09
07/12/2015,105.61,52.805
08/12/2015,106.49,53.245
09/12/2015,104.6,52.3
10/12/2015,105.42,52.71
11/12/2015,102.12,51.06
14/12/2015,104.66,52.33
15/12/2015,104.55,52.275
16/12/2015,106.79,53.395
17/12/2015,106.22,53.11
18/12/2015,104.04,52.02
21/12/2015,104.77,52.385
22/12/2015,105.51,52.755
23/12/2015,104.63,52.315
24/12/2015,105.02,52.51
25/12/2015,105.02,52.51
28/12/2015,105.93,52.965
29/12/2015,107.26,53.63
30/12/2015,106.22,53.11
31/12/2015,104.66,52.33
01/01/2016,104.66,52.33
04/01/2016,102.22,51.11
05/01/2016,102.73,51.365
06/01/2016,102.97,51.485
07/01/2016,97.92,48.96
08/01/2016,97.33,48.665
11/01/2016,97.51,48.755
12/01/2016,99.37,49.685
13/01/2016,95.44,47.72
14/01/2016,98.37,49.185
15/01/2016,94.97,47.485
18/01/2016,94.97,47.485
19/01/2016,95.26,47.63
20/01/2016,94.35,47.175
21/01/2016,94.16,47.08
22/01/2016,97.94,48.97
25/01/2016,97.01,48.505
26/01/2016,97.34,48.67
27/01/2016,94.45,47.225
28/01/2016,109.11,54.555
29/01/2016,112.21,56.105
01/02/2016,115.09,57.545
02/02/2016,114.61,57.305
03/02/2016,112.69,56.345
04/02/2016,110.49,55.245
05/02/2016,104.07,52.035
08/02/2016,99.75,49.875
09/02/2016,99.54,49.77
10/02/2016,101,50.5
11/02/2016,101.91,50.955
12/02/2016,102.01,51.005
15/02/2016,102.01,51.005
16/02/2016,101.61,50.805
17/02/2016,105.2,52.6
18/02/2016,103.47,51.735
19/02/2016,104.57,52.285
22/02/2016,107.16,53.58
23/02/2016,105.46,52.73
24/02/2016,106.88,53.44
25/02/2016,108.07,54.035
26/02/2016,107.92,53.96
29/02/2016,106.92,53.46
01/03/2016,109.82,54.91
02/03/2016,109.95,54.975
03/03/2016,109.58,54.79
04/03/2016,108.39,54.195
07/03/2016,105.73,52.865
08/03/2016,105.93,52.965
09/03/2016,107.51,53.755
10/03/2016,107.32,53.66
11/03/2016,109.41,54.705
14/03/2016,109.89,54.945
15/03/2016,110.67,55.335
16/03/2016,112.18,56.09
17/03/2016,111.02,55.51
18/03/2016,111.45,55.725
21/03/2016,111.85,55.925
22/03/2016,112.25,56.125
23/03/2016,112.54,56.27
24/03/2016,113.05,56.525
25/03/2016,113.05,56.525
28/03/2016,113.69,56.845
29/03/2016,116.14,58.07
30/03/2016,114.7,57.35
31/03/2016,114.1,57.05
01/04/2016,116.06,58.03
04/04/2016,112.55,56.275
05/04/2016,112.22,56.11
06/04/2016,113.71,56.855
07/04/2016,113.64,56.82
08/04/2016,110.63,55.315
11/04/2016,108.99,54.495
12/04/2016,110.61,55.305
13/04/2016,110.51,55.255
14/04/2016,110.84,55.42
15/04/2016,109.64,54.82
18/04/2016,110.45,55.225
19/04/2016,112.29,56.145
20/04/2016,112.42,56.21
21/04/2016,113.44,56.72
22/04/2016,110.56,55.28
25/04/2016,110.1,55.05
26/04/2016,108.76,54.38
27/04/2016,108.89,54.445
28/04/2016,116.73,58.365
29/04/2016,117.58,58.79
02/05/2016,118.57,59.285
03/05/2016,117.43,58.715
04/05/2016,118.06,59.03
05/05/2016,117.81,58.905
06/05/2016,119.49,59.745
09/05/2016,119.24,59.62
10/05/2016,120.5,60.25
11/05/2016,119.52,59.76
12/05/2016,120.28,60.14
13/05/2016,119.81,59.905
16/05/2016,118.67,59.335
17/05/2016,117.35,58.675
18/05/2016,117.65,58.825
19/05/2016,116.81,58.405
20/05/2016,117.35,58.675
23/05/2016,115.97,57.985
24/05/2016,117.7,58.85
25/05/2016,117.89,58.945
26/05/2016,119.47,59.735
27/05/2016,119.38,59.69
30/05/2016,119.38,59.69
31/05/2016,118.81,59.405
01/06/2016,118.78,59.39
02/06/2016,118.93,59.465
03/06/2016,118.47,59.235
06/06/2016,118.79,59.395
07/06/2016,117.76,58.88
08/06/2016,118.39,59.195
09/06/2016,118.56,59.28
10/06/2016,116.62,58.31
13/06/2016,113.95,56.975
14/06/2016,114.94,57.47
15/06/2016,114.6,57.3
16/06/2016,114.39,57.195
17/06/2016,113.02,56.51
20/06/2016,113.37,56.685
21/06/2016,114.38,57.19
22/06/2016,113.91,56.955
23/06/2016,115.08,57.54
24/06/2016,112.08,56.04
27/06/2016,108.97,54.485
28/06/2016,112.7,56.35
29/06/2016,114.16,57.08
30/06/2016,114.28,57.14
01/07/2016,114.19,57.095
04/07/2016,114.19,57.095
05/07/2016,114,57
06/07/2016,116.7,58.35
07/07/2016,115.85,57.925
08/07/2016,117.24,58.62
11/07/2016,117.87,58.935
12/07/2016,117.93,58.965
13/07/2016,116.78,58.39
14/07/2016,117.29,58.645
15/07/2016,116.86,58.43
18/07/2016,119.37,59.685
19/07/2016,120.61,60.305
20/07/2016,121.92,60.96
21/07/2016,120.61,60.305
22/07/2016,121,60.5
25/07/2016,121.63,60.815
26/07/2016,121.22,60.61
27/07/2016,123.34,61.67
28/07/2016,125,62.5
29/07/2016,123.94,61.97
01/08/2016,124.31,62.155
02/08/2016,123.09,61.545
03/08/2016,122.51,61.255
04/08/2016,124.36,62.18
05/08/2016,125.15,62.575
08/08/2016,125.26,62.63
09/08/2016,125.06,62.53
10/08/2016,124.88,62.44
11/08/2016,124.9,62.45
12/08/2016,124.88,62.44
15/08/2016,123.9,61.95
16/08/2016,123.3,61.65
17/08/2016,124.37,62.185
18/08/2016,123.91,61.955
19/08/2016,123.56,61.78
22/08/2016,124.15,62.075
23/08/2016,124.37,62.185
24/08/2016,123.48,61.74
25/08/2016,123.89,61.945
26/08/2016,124.96,62.48
29/08/2016,126.54,63.27
30/08/2016,125.84,62.92
31/08/2016,126.12,63.06
01/09/2016,126.17,63.085
02/09/2016,126.51,63.255
05/09/2016,126.51,63.255
06/09/2016,129.73,64.865
07/09/2016,131.05,65.525
08/09/2016,130.27,65.135
09/09/2016,127.1,63.55
12/09/2016,128.69,64.345
13/09/2016,127.21,63.605
14/09/2016,127.77,63.885
15/09/2016,128.35,64.175
16/09/2016,129.07,64.535
19/09/2016,128.65,64.325
20/09/2016,128.64,64.32
21/09/2016,129.94,64.97
22/09/2016,130.08,65.04
23/09/2016,127.96,63.98
26/09/2016,127.31,63.655
27/09/2016,128.69,64.345
28/09/2016,129.23,64.615
29/09/2016,128.09,64.045
30/09/2016,128.27,64.135
03/10/2016,128.77,64.385
04/10/2016,128.19,64.095
05/10/2016,128.47,64.235
06/10/2016,128.74,64.37
07/10/2016,128.99,64.495
10/10/2016,130.24,65.12
11/10/2016,128.88,64.44
12/10/2016,129.05,64.525
13/10/2016,127.82,63.91
14/10/2016,127.88,63.94
17/10/2016,127.54,63.77
18/10/2016,128.57,64.285
19/10/2016,130.11,65.055
20/10/2016,130,65
21/10/2016,132.07,66.035
24/10/2016,133.28,66.64
25/10/2016,132.29,66.145
26/10/2016,131.04,65.52
27/10/2016,129.69,64.845
28/10/2016,131.29,65.645
31/10/2016,130.99,65.495
01/11/2016,129.5,64.75
02/11/2016,127.17,63.585
03/11/2016,120,60
04/11/2016,120.75,60.375
07/11/2016,122.15,61.075
08/11/2016,124.22,62.11
09/11/2016,123.18,61.59
10/11/2016,120.8,60.4
11/11/2016,119.02,59.51
14/11/2016,115.08,57.54
15/11/2016,117.2,58.6
16/11/2016,116.34,58.17
17/11/2016,117.79,58.895
18/11/2016,117.02,58.51
21/11/2016,121.77,60.885
22/11/2016,121.47,60.735
23/11/2016,120.84,60.42
24/11/2016,120.84,60.42
25/11/2016,120.38,60.19
28/11/2016,120.41,60.205
29/11/2016,120.87,60.435
30/11/2016,118.42,59.21
01/12/2016,115.1,57.55
02/12/2016,115.4,57.7
05/12/2016,117.43,58.715
06/12/2016,117.31,58.655
07/12/2016,117.95,58.975
08/12/2016,118.91,59.455
09/12/2016,119.68,59.84
12/12/2016,117.77,58.885
13/12/2016,120.31,60.155
14/12/2016,120.21,60.105
15/12/2016,120.57,60.285
16/12/2016,119.87,59.935
19/12/2016,119.24,59.62
20/12/2016,119.09,59.545
21/12/2016,119.04,59.52
22/12/2016,117.4,58.7
23/12/2016,117.27,58.635
26/12/2016,117.27,58.635
27/12/2016,118.01,59.005
28/12/2016,116.92,58.46
29/12/2016,116.35,58.175
30/12/2016,115.05,57.525
02/01/2017,115.05,57.525
03/01/2017,116.86,58.43
04/01/2017,118.69,59.345
05/01/2017,120.67,60.335
06/01/2017,123.41,61.705
09/01/2017,124.9,62.45
10/01/2017,124.35,62.175
11/01/2017,126.09,63.045
12/01/2017,126.62,63.31
13/01/2017,128.34,64.17
16/01/2017,128.34,64.17
17/01/2017,127.87,63.935
18/01/2017,127.92,63.96
19/01/2017,127.55,63.775
20/01/2017,127.04,63.52
23/01/2017,128.93,64.465
24/01/2017,129.37,64.685
25/01/2017,131.48,65.74
26/01/2017,132.78,66.39
27/01/2017,132.18,66.09
30/01/2017,130.98,65.49
31/01/2017,130.32,65.16
01/02/2017,133.23,66.615
02/02/2017,130.84,65.42
03/02/2017,130.98,65.49
06/02/2017,132.06,66.03
07/02/2017,131.84,65.92
08/02/2017,134.2,67.1
09/02/2017,134.14,67.07
10/02/2017,134.19,67.095
13/02/2017,134.05,67.025
14/02/2017,133.85,66.925
15/02/2017,133.44,66.72
16/02/2017,133.84,66.92
17/02/2017,133.53,66.765
20/02/2017,133.53,66.765
21/02/2017,133.72,66.86
22/02/2017,136.12,68.06
23/02/2017,135.36,67.68
24/02/2017,135.44,67.72
27/02/2017,136.41,68.205
28/02/2017,135.54,67.77
01/03/2017,137.42,68.71
02/03/2017,136.76,68.38
03/03/2017,137.17,68.585
06/03/2017,137.42,68.71
07/03/2017,137.3,68.65
08/03/2017,137.72,68.86
09/03/2017,138.24,69.12
10/03/2017,138.79,69.395
13/03/2017,139.6,69.8
14/03/2017,139.32,69.66
15/03/2017,139.72,69.86
16/03/2017,139.99,69.995
17/03/2017,139.84,69.92
20/03/2017,139.94,69.97
21/03/2017,138.51,69.255
22/03/2017,139.59,69.795
23/03/2017,139.53,69.765
24/03/2017,140.34,70.17
27/03/2017,140.32,70.16
28/03/2017,141.76,70.88
29/03/2017,142.65,71.325
30/03/2017,142.41,71.205
31/03/2017,142.05,71.025
03/04/2017,142.28,71.14
04/04/2017,141.73,70.865
05/04/2017,141.85,70.925
06/04/2017,141.17,70.585
07/04/2017,140.78,70.39
10/04/2017,141.04,70.52
11/04/2017,139.92,69.96
12/04/2017,139.58,69.79
13/04/2017,139.39,69.695
14/04/2017,139.39,69.695
17/04/2017,141.42,70.71
18/04/2017,140.96,70.48
19/04/2017,142.27,71.135
20/04/2017,143.8,71.9
21/04/2017,143.68,71.84
24/04/2017,145.47,72.735
25/04/2017,146.49,73.245
26/04/2017,146.56,73.28
27/04/2017,147.7,73.85
28/04/2017,150.25,75.125
01/05/2017,152.46,76.23
02/05/2017,152.78,76.39
03/05/2017,151.8,75.9
04/05/2017,150.85,75.425
05/05/2017,150.24,75.12
08/05/2017,151.06,75.53
09/05/2017,150.48,75.24
10/05/2017,150.29,75.145
11/05/2017,150.04,75.02
12/05/2017,150.33,75.165
15/05/2017,150.19,75.095
16/05/2017,149.78,74.89
17/05/2017,144.85,72.425
18/05/2017,147.66,73.83
19/05/2017,148.06,74.03
22/05/2017,148.24,74.12
23/05/2017,148.07,74.035
24/05/2017,150.04,75.02
25/05/2017,151.96,75.98
26/05/2017,152.13,76.065
29/05/2017,152.13,76.065
30/05/2017,152.38,76.19
31/05/2017,151.46,75.73
01/06/2017,151.53,75.765
02/06/2017,153.61,76.805
05/06/2017,153.63,76.815
06/06/2017,152.81,76.405
07/06/2017,153.12,76.56
08/06/2017,154.71,77.355
09/06/2017,149.6,74.8
12/06/2017,148.44,74.22
13/06/2017,150.68,75.34
14/06/2017,150.25,75.125
15/06/2017,149.8,74.9
16/06/2017,150.64,75.32
19/06/2017,152.87,76.435
20/06/2017,152.25,76.125
21/06/2017,153.91,76.955
22/06/2017,153.4,76.7
23/06/2017,155.07,77.535
26/06/2017,153.59,76.795
27/06/2017,150.58,75.29
28/06/2017,153.24,76.62
29/06/2017,151.04,75.52
30/06/2017,150.98,75.49
03/07/2017,148.43,74.215
04/07/2017,148.43,74.215
05/07/2017,150.34,75.17
06/07/2017,148.82,74.41
07/07/2017,151.44,75.72
10/07/2017,153.5,76.75
11/07/2017,155.27,77.635
12/07/2017,158.9,79.45
13/07/2017,159.26,79.63
14/07/2017,159.97,79.985
17/07/2017,159.73,79.865
18/07/2017,162.86,81.43
19/07/2017,164.14,82.07
20/07/2017,164.53,82.265
21/07/2017,164.43,82.215
24/07/2017,166,83
25/07/2017,165.28,82.64
26/07/2017,165.61,82.805
27/07/2017,170.44,85.22
28/07/2017,172.45,86.225
31/07/2017,169.25,84.625
