name,medianPayDiff,section,clean_name,highlight
ADAMS-MOREY LIMITED,25,Wholesale and retail trade; repair of motor vehicles and motorcycles,Adams-morey,
ADARE INTERNATIONAL LIMITED,13.6,Manufacturing,Adare International,
ADNAMS PLC,9,Manufacturing,Adnams,
ADNAMS PLC,9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Adnams,
Advanced Travel Partners UK Ltd,26,Administrative and support service activities,Advanced Travel Partners Uk,
"Advisory, Conciliation and Arbitration Service",0,Public Sector,"Advisory, Conciliation And Arbitration Service",
AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED,21.2,"Professional, scientific and technical activities",Aecom Infrastructure & Environment Uk,
AECOM LIMITED,21.9,"Professional, scientific and technical activities",Aecom,
AFLEX HOSE LIMITED,-3.5,Manufacturing,Aflex Hose,
Ag Restaurants Ltd,12.3,Accommodation and food service activities,Ag Restaurants,
Age Concern Essex,6.4,Human health and social work activities,Age Concern Essex,
Age UK North Tyneside,0,Human health and social work activities,Age Uk North Tyneside,
AGEAS INSURANCE LIMITED,29.3,Financial and insurance activities,Ageas Insurance,
AGEAS RETAIL LIMITED,4.8,Financial and insurance activities,Ageas Retail,
AGENCY 2000 LIMITED,0,Administrative and support service activities,Agency 2000,
Aim Aviation (Jecco) Ltd.,34.3,Manufacturing,Aim Aviation (jecco),
AIR BUSINESS LIMITED,8.9,Transportation and storage,Air Business,
AIRBUS DEFENCE AND SPACE LIMITED,20.4,Manufacturing,Airbus Defence And Space,
AIRBUS OPERATIONS LIMITED,-0.3,Manufacturing,Airbus Operations,
Airedale Nhs Foundation Trust,19.6,Public Sector,Airedale Nhs Foundation Trust,
Airedale Nhs Foundation Trust,19.6,Human health and social work activities,Airedale Nhs Foundation Trust,
AKQA LIMITED,30.5,"Professional, scientific and technical activities",Akqa,
ALCOHOL & DRUGS ACTION,2.1,Human health and social work activities,Alcohol & Drugs Action,
Aldermore Bank PLC,35.7,Financial and insurance activities,Aldermore Bank,
ALDI STORES LIMITED,4.8,Wholesale and retail trade; repair of motor vehicles and motorcycles,Aldi Stores,
ALDI STORES LIMITED,4.8,"Professional, scientific and technical activities",Aldi Stores,
ALLEN & OVERY SERVICE COMPANY LIMITED,27.4,"Professional, scientific and technical activities",Allen & Overy Service Company,
ALLIANCE DISPOSABLES LIMITED,-4.5,Wholesale and retail trade; repair of motor vehicles and motorcycles,Alliance Disposables,
ALLIANCE IN PARTNERSHIP LIMITED,11.9,Accommodation and food service activities,Alliance In Partnership,
ALLIANCE MEDICAL LIMITED,21,Human health and social work activities,Alliance Medical,
ALLIANZ MANAGEMENT SERVICES LIMITED,22.2,Administrative and support service activities,Allianz Management Services,
ALPHA PLUS GROUP LIMITED,14.8,Education,Alpha Plus Group,
ALPHA RESPONSE (2004) LIMITED,0,Administrative and support service activities,Alpha Response (2004),
ALS ENVIRONMENTAL LIMITED,-1.5,"Professional, scientific and technical activities",Als Environmental,
ALS LIFE SCIENCES LIMITED,-2,"Professional, scientific and technical activities",Als Life Sciences,
ALTON CARS LIMITED,29.1,Manufacturing,Alton Cars,
ALTRAN UK LIMITED,13.6,"Professional, scientific and technical activities",Altran Uk,
Amalgamated Construction Ltd,24,Construction,Amalgamated Construction,
Amber Valley Borough Council,-15.6,Public Sector,Amber Valley Borough Council,
Amber Valley Borough Council,-15.6,Public administration and defence; compulsory social security,Amber Valley Borough Council,
AMEC FOSTER WHEELER ENVIRONMENT & INFRASTRUCTURE UK LIMITED,27.5,Administrative and support service activities,Amec Foster Wheeler Environment & Infrastructure Uk,
AMEC FOSTER WHEELER GROUP LIMITED,26.8,Administrative and support service activities,Amec Foster Wheeler Group,
AMEC FOSTER WHEELER NUCLEAR UK LIMITED,31.3,Construction,Amec Foster Wheeler Nuclear Uk,
AMEC FOSTER WHEELER NUCLEAR UK LIMITED,31.3,"Professional, scientific and technical activities",Amec Foster Wheeler Nuclear Uk,
AMERICAN GOLF DISCOUNT CENTRE LIMITED,-1.2,Wholesale and retail trade; repair of motor vehicles and motorcycles,American Golf Discount Centre,
AMERICAN SCHOOL IN LONDON EDUCATIONAL TRUST LIMITED(THE),-29.3,Education,American School In London Educational Trust (the),
Amersham and Wycombe College,16.3,Public Sector,Amersham And Wycombe College,
AMETHYST ACADEMIES TRUST,18.7,Education,Amethyst Academies Trust,
AMNESTY INTERNATIONAL LIMITED,5.7,Other service activities,Amnesty International,
AMTICO INTERNATIONAL LIMITED,-1.3,Manufacturing,Amtico International,
ANCHOR CAREHOMES LIMITED,0.6,Human health and social work activities,Anchor Carehomes,
Anchor Group Services Ltd,2,Administrative and support service activities,Anchor Group Services,
ANCHOR SECURITY SERVICES LIMITED,2,Administrative and support service activities,Anchor Security Services,
Anchor Trust,8.7,Real estate activities,Anchor Trust,
Anchor Trust,8.7,Human health and social work activities,Anchor Trust,
ANGARD STAFFING SOLUTIONS LIMITED,2.5,Administrative and support service activities,Angard Staffing Solutions,
Anglia Ruskin University,11.9,Public Sector,Anglia Ruskin University,
Anglia Ruskin University,11.9,Education,Anglia Ruskin University,
ANGLIAN COMMUNITY ENTERPRISE (ACE) COMMUNITY INTEREST COMPANY,-5,Human health and social work activities,Anglian Community Enterprise (ace) Community Interest Company,
ANGLIAN WATER SERVICES LIMITED,16.9,"Water supply, sewerage, waste management and remediation activities",Anglian Water Services,
ANGLIAN WATER SERVICES LIMITED,16.9,"Professional, scientific and technical activities",Anglian Water Services,
Anglo American Services (UK) Ltd.,48.5,Administrative and support service activities,Anglo American Services,
APETITO LIMITED,12.8,Manufacturing,Apetito,
APOLLO FIRE DETECTORS LIMITED,17,Manufacturing,Apollo Fire Detectors,
APPH LIMITED,-11,Manufacturing,Apph,
ARCADIS HUMAN RESOURCES LIMITED,25.7,Administrative and support service activities,Arcadis Human Resources,
ARCUS FM LIMITED,19.5,Real estate activities,Arcus Fm,
ARCUS SOLUTIONS LIMITED,38.1,Manufacturing,Arcus Solutions,
Arden Multi Academy Trust,21.2,Public Sector,Arden Multi Academy Trust,
Arden Multi Academy Trust,21.2,Education,Arden Multi Academy Trust,
ARJO WIGGINS FINE PAPERS LIMITED,0.7,Manufacturing,Arjo Wiggins Fine Papers,
ARM LIMITED,15.5,Administrative and support service activities,Arm,
ARNOLD CLARK AUTOMOBILES LIMITED,10.8,Wholesale and retail trade; repair of motor vehicles and motorcycles,Arnold Clark Automobiles,
ARNOLD CLARK FINANCE LIMITED.,-15,Administrative and support service activities,Arnold Clark Finance .,
ARR CRAIB TRANSPORT LIMITED,-9.9,Transportation and storage,Arr Craib Transport,
ARRC HOLDINGS LIMITED,-9.9,Financial and insurance activities,Arrc Holdings,
ARRIVA CYMRU LIMITED,2,Transportation and storage,Arriva Cymru,
ARRIVA DURHAM COUNTY LIMITED,2,Transportation and storage,Arriva Durham County,
ARRIVA KENT & SURREY LIMITED,0,Transportation and storage,Arriva Kent & Surrey,
ARRIVA KENT THAMESIDE LIMITED,4,Transportation and storage,Arriva Kent Thameside,
ARRIVA LONDON NORTH LIMITED,7,Transportation and storage,Arriva London North,
ARRIVA LONDON SOUTH LIMITED,7,Transportation and storage,Arriva London South,
ARRIVA MERSEYSIDE LIMITED,3,Transportation and storage,Arriva Merseyside,
ARRIVA MIDLANDS LIMITED,8,Transportation and storage,Arriva Midlands,
ARRIVA MIDLANDS NORTH LIMITED,4,Transportation and storage,Arriva Midlands North,
ARRIVA NORTH WEST LIMITED,1,Transportation and storage,Arriva North West,
ARRIVA NORTHUMBRIA LIMITED,1,Transportation and storage,Arriva Northumbria,
ARRIVA PLC,13,Transportation and storage,Arriva,
ARRIVA RAIL LONDON LIMITED,44,"Professional, scientific and technical activities",Arriva Rail London,
ARRIVA RAIL NORTH LIMITED,18,Transportation and storage,Arriva Rail North,
ARRIVA THE SHIRES LIMITED,9,Transportation and storage,Arriva The Shires,
ARRIVA TRAINS WALES/TRENAU ARRIVA CYMRU LIMITED,22,Transportation and storage,Arriva Trains Wales/trenau Arriva Cymru,
ARRIVA TRANSPORT SOLUTIONS LIMITED,-3,Transportation and storage,Arriva Transport Solutions,
ARRIVA TRANSPORT SOLUTIONS LIMITED,-3,Human health and social work activities,Arriva Transport Solutions,
ARRIVA YORKSHIRE LIMITED,3,Transportation and storage,Arriva Yorkshire,
ARRK EUROPE LIMITED,-2.1,Manufacturing,Arrk Europe,
ARROW ENTERPRISE COMPUTING SOLUTIONS LIMITED,28.6,Information and communication,Arrow Enterprise Computing Solutions,
ARTHUR DAVID (FOOD WITH SERVICE) LIMITED,0,Wholesale and retail trade; repair of motor vehicles and motorcycles,Arthur David (food With Service),
"Arts Club(London),Ltd.(The)",0,Other service activities,"Arts Club(london),(the)",
Arts University Bournemouth,18.1,Public Sector,Arts University Bournemouth,
Arts University Bournemouth,18.1,Education,Arts University Bournemouth,
ARVAL UK GROUP LIMITED,19.3,Financial and insurance activities,Arval Uk Group,
ARVAL UK GROUP LIMITED,19.3,"Professional, scientific and technical activities",Arval Uk Group,
ARVAL UK GROUP LIMITED,19.3,Administrative and support service activities,Arval Uk Group,
ASD LIMITED,-15.4,Wholesale and retail trade; repair of motor vehicles and motorcycles,Asd,
ASDA STORES LIMITED,8.9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Asda Stores,
Ashfield District Council,0,Public Sector,Ashfield District Council,
Ashfield District Council,0,Public administration and defence; compulsory social security,Ashfield District Council,
Ashford Borough Council,23.6,Public Sector,Ashford Borough Council,
Ashford Borough Council,23.6,Public administration and defence; compulsory social security,Ashford Borough Council,
Ashgate Hospicecare,-19,Human health and social work activities,Ashgate Hospicecare,
ASM ASSEMBLY SYSTEMS WEYMOUTH LIMITED,18.6,Manufacturing,Asm Assembly Systems Weymouth,
ASPIRE ACHIEVE ADVANCE LIMITED,11.1,Education,Aspire Achieve Advance,
ASSYSTEM UK LIMITED,32.6,"Professional, scientific and technical activities",Assystem Uk,
ASTON MANOR LIMITED,-16,Manufacturing,Aston Manor,
ATB GROUP UK LIMITED,22,Manufacturing,Atb Group Uk,
ATOM BANK PLC,31.6,Financial and insurance activities,Atom Bank,
AUDLEY COURT LIMITED,1,Real estate activities,Audley Court,
AUDLEY TRAVEL GROUP LIMITED,25.6,Administrative and support service activities,Audley Travel Group,
Autism East Midlands,0,Education,Autism East Midlands,
Autism East Midlands,0,Human health and social work activities,Autism East Midlands,
AUTISM SUSSEX LIMITED,-2,Human health and social work activities,Autism Sussex,
Autism Together,0,Human health and social work activities,Autism Together,
AUTO TRADER LIMITED,18.5,Information and communication,Auto Trader,
AUTO-SLEEPERS GROUP LIMITED,18.8,Manufacturing,Auto-sleepers Group,
AUTO-SLEEPERS INVESTMENTS LIMITED,18.8,"Professional, scientific and technical activities",Auto-sleepers Investments,
AUTODESK LIMITED,28.7,Information and communication,Autodesk,
AUTOSCAN (UK) LIMITED,-13.5,Administrative and support service activities,Autoscan,
AVAILABLE CAR LIMITED,8.2,Wholesale and retail trade; repair of motor vehicles and motorcycles,Available Car,
AVANTE CARE AND SUPPORT LIMITED,8.8,Human health and social work activities,Avante Care And Support,
AVIVA EMPLOYMENT SERVICES LIMITED,26.4,Other service activities,Aviva Employment Services,
AVIVA INVESTORS EMPLOYMENT SERVICES LIMITED,21,Administrative and support service activities,Aviva Investors Employment Services,
Awe PLC,16.7,Manufacturing,Awe,
AXA GLOBAL HEALTHCARE (UK) LIMITED,-0.5,Financial and insurance activities,Axa Global Healthcare,
AXA GLOBAL HEALTHCARE (UK) LIMITED,-0.5,Administrative and support service activities,Axa Global Healthcare,
AXA GLOBAL SERVICES UK LIMITED,21,Information and communication,Axa Global Services Uk,
AXA ICAS LIMITED,3.2,Financial and insurance activities,Axa Icas,
AXA INVESTMENT MANAGERS LIMITED,27.2,"Professional, scientific and technical activities",Axa Investment Managers,
AXA PPP HEALTHCARE GROUP LIMITED,7.6,Financial and insurance activities,Axa Ppp Healthcare Group,
AXA SERVICES LIMITED,27,Administrative and support service activities,Axa Services,
AXA UK PLC,20.4,"Professional, scientific and technical activities",Axa Uk,
Axminster Tool Centre Ltd,5,Wholesale and retail trade; repair of motor vehicles and motorcycles,Axminster Tool Centre,
AXON SOLUTIONS LIMITED,13.2,Information and communication,Axon Solutions,
Aylesbury College,19,Public Sector,Aylesbury College,
Aylesbury College,19,Education,Aylesbury College,
Aylesbury Vale District Council,-23.5,Public Sector,Aylesbury Vale District Council,
Aylesbury Vale District Council,-23.5,Public administration and defence; compulsory social security,Aylesbury Vale District Council,
AZURE CHARITABLE ENTERPRISES,0,"Agriculture, Forestry and Fishing",Azure Charitable Enterprises,
AZURE CHARITABLE ENTERPRISES,0,Manufacturing,Azure Charitable Enterprises,
AZURE CHARITABLE ENTERPRISES,0,Human health and social work activities,Azure Charitable Enterprises,
B & M RETAIL LIMITED,0,Wholesale and retail trade; repair of motor vehicles and motorcycles,B & M Retail,
B & Q PLC,2,Wholesale and retail trade; repair of motor vehicles and motorcycles,B & Q,
"B.A.I. (U.K.), LIMITED",4.3,Transportation and storage,"B.a.i. ,",
B.E. WEDGE HOLDINGS LIMITED,17.7,Manufacturing,B.e. Wedge Holdings,
B&CE HOLDINGS LIMITED,22,Financial and insurance activities,B&ce Holdings,
Babergh,19.7,Public Sector,Babergh,
BAE SYSTEMS (Operations) Limited,7.8,Manufacturing,Bae Systems (operations),
BAE SYSTEMS (Operations) Limited,7.8,Public administration and defence; compulsory social security,Bae Systems (operations),
Bae Systems Applied Intelligence Limited,21,Information and communication,Bae Systems Applied Intelligence,
BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,18.6,Manufacturing,Bae Systems Global Combat Systems,
BAE SYSTEMS GLOBAL COMBAT SYSTEMS MUNITIONS LIMITED,6.8,Manufacturing,Bae Systems Global Combat Systems Munitions,
BAE SYSTEMS MARINE LIMITED,16.1,Manufacturing,Bae Systems Marine,
BAE Systems Plc,15.6,Manufacturing,Bae Systems Plc,
BAE SYSTEMS SURFACE SHIPS LIMITED,8.4,Manufacturing,Bae Systems Surface Ships,
BAGS ETC LIMITED,0,Wholesale and retail trade; repair of motor vehicles and motorcycles,Bags Etc,
BAILEY EMPLOYMENT SERVICES LIMITED,-4.8,Administrative and support service activities,Bailey Employment Services,
BAILEY EMPLOYMENT SERVICES LIMITED,-4.8,Other service activities,Bailey Employment Services,
Baillie Gifford & Co,17.9,Financial and insurance activities,Baillie Gifford & Co,
BAKER HUGHES LIMITED,23.2,Mining and Quarrying,Baker Hughes,
BAKER TILLY MANAGEMENT LIMITED,21.5,Administrative and support service activities,Baker Tilly Management,
BAKKAVOR FOODS LIMITED,7.8,Manufacturing,Bakkavor Foods,
BAKKAVOR FRESH COOK LIMITED,5.8,Manufacturing,Bakkavor Fresh Cook,
BALANS RESTAURANTS LIMITED,11.1,Accommodation and food service activities,Balans Restaurants,
BAM NUTTALL LIMITED,27.7,Construction,Bam Nuttall,
Bank of England,24.2,Public Sector,Bank Of England,
Barclays Bank PLC,43.5,Financial and insurance activities,Barclays Bank,
BARCLAYS BANK UK PLC,14.2,"Professional, scientific and technical activities",Barclays Bank Uk,
BARCLAYS SERVICES LIMITED,29.9,Administrative and support service activities,Barclays Services,
BARD PHARMACEUTICALS LIMITED,17.6,Manufacturing,Bard Pharmaceuticals,
BARFOOTS OF BOTLEY LIMITED,-4.8,Wholesale and retail trade; repair of motor vehicles and motorcycles,Barfoots Of Botley,
Barking & Dagenham College,15,Public Sector,Barking & Dagenham College,
Barking & Dagenham College,15,Education,Barking & Dagenham College,
Barnardo's,8.8,Human health and social work activities,Barnardo's,
Barnet & Southgate College,11.1,Public Sector,Barnet & Southgate College,
Barnet & Southgate College,11.1,Education,Barnet & Southgate College,
Barnet Council,0,Public Sector,Barnet Council,
Barnet Council,0,Public administration and defence; compulsory social security,Barnet Council,
Barnfield College,16.2,Public Sector,Barnfield College,
Barnsley Metropolitan Borough Council,12.4,Public Sector,Barnsley Metropolitan Borough Council,
Barnsley Metropolitan Borough Council,12.4,Public administration and defence; compulsory social security,Barnsley Metropolitan Borough Council,
BARRETT STEEL LIMITED,-6,Wholesale and retail trade; repair of motor vehicles and motorcycles,Barrett Steel,
BARRETT STEEL LIMITED,-6,"Professional, scientific and technical activities",Barrett Steel,
BASF PUBLIC LIMITED COMPANY,5.4,Manufacturing,Basf Public  Company,
BASF PUBLIC LIMITED COMPANY,5.4,Wholesale and retail trade; repair of motor vehicles and motorcycles,Basf Public  Company,
Basildon and Thurrock University Hospitals NHS Foundation Trust,16.8,Public Sector,Basildon And Thurrock University Hospitals Nhs Foundation Trust,
Basildon District Council,-6.5,Public Sector,Basildon District Council,
Basildon District Council,-6.5,Public administration and defence; compulsory social security,Basildon District Council,
Basingstoke & Deane Borough Council,-8,Public Sector,Basingstoke & Deane Borough Council,
Basingstoke & Deane Borough Council,-8,Public administration and defence; compulsory social security,Basingstoke & Deane Borough Council,
Bath Spa University,23.7,Public Sector,Bath Spa University,
Bath Spa University,23.7,Education,Bath Spa University,
BATHSTORE.COM LIMITED,9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Bathstore.com,
Batley Multi Academy Trust,49.1,Public Sector,Batley Multi Academy Trust,
Batley Multi Academy Trust,49.1,Education,Batley Multi Academy Trust,
BAXTER HEALTHCARE LIMITED,0.7,Manufacturing,Baxter Healthcare,
BB LEGAL LIMITED,6.5,"Professional, scientific and technical activities",Bb Legal,
BCM LIMITED,-0.8,Manufacturing,Bcm,
BD NETWORK LIMITED,15.2,"Professional, scientific and technical activities",Bd Network,
BDO SERVICES LIMITED,21.2,Administrative and support service activities,Bdo Services,
BE MODERN LIMITED,-27.7,Manufacturing,Be Modern,
Be Wiser Insurance Services Ltd,3.8,Financial and insurance activities,Be Wiser Insurance Services,
BEACON BINGO LIMITED,11.5,"Arts, entertainment and recreation",Beacon Bingo,
BEATSON CLARK LIMITED,9.4,Manufacturing,Beatson Clark,
BECKETT'S FOODS LIMITED,6.5,Wholesale and retail trade; repair of motor vehicles and motorcycles,Beckett's Foods,
Bedford College,7.6,Public Sector,Bedford College,
Bedford College,7.6,Education,Bedford College,
Bedfordshire Police,14.6,Public Sector,Bedfordshire Police,
Bedfordshire Police,14.6,Other service activities,Bedfordshire Police,
BELLS OF LAZONBY LIMITED,4.4,Manufacturing,Bells Of Lazonby,
BENCH LIMITED,-2.9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Bench,
Bennett Restaurants Ltd,-0.1,Accommodation and food service activities,Bennett Restaurants,
Berkshire College of Agriculture,1.1,Public Sector,Berkshire College Of Agriculture,
BERTRAM TRADING LIMITED,-2.3,Wholesale and retail trade; repair of motor vehicles and motorcycles,Bertram Trading,
BHID GROUP LIMITED,12.8,Manufacturing,Bhid Group,
BIFFA ENVIRONMENTAL MUNICIPAL SERVICES LIMITED,-5.7,"Water supply, sewerage, waste management and remediation activities",Biffa Environmental Municipal Services,
BIFFA MUNICIPAL LIMITED,0.8,"Water supply, sewerage, waste management and remediation activities",Biffa Municipal,
BIFFA WASTE SERVICES LIMITED,3.6,"Water supply, sewerage, waste management and remediation activities",Biffa Waste Services,
Big Yellow Group PLC,10,"Professional, scientific and technical activities",Big Yellow Group,
BIGHAMS LIMITED,-2,Manufacturing,Bighams,
BILFINGER INDUSTRIAL SERVICES UK LIMITED,39.9,Construction,Bilfinger Industrial Services Uk,
Birmingham City University,9.2,Public Sector,Birmingham City University,
Birmingham City University,9.2,Education,Birmingham City University,
Birmingham Community Leisure Trust,3.2,"Arts, entertainment and recreation",Birmingham Community Leisure Trust,
Birmingham Metropolitan College (Bmet),13.9,Public Sector,Birmingham Metropolitan College (bmet),
Birmingham Metropolitan College (Bmet),13.9,Education,Birmingham Metropolitan College (bmet),
Birmingham Museums Trust,3.8,"Arts, entertainment and recreation",Birmingham Museums Trust,
BLACK & VEATCH LIMITED,24,Construction,Black & Veatch,
BLACK & VEATCH LIMITED,24,"Professional, scientific and technical activities",Black & Veatch,
BLACK SWAN INTERNATIONAL LIMITED,5,Human health and social work activities,Black Swan International,
Blackburn With Darwen Borough Council,-2.8,Public Sector,Blackburn With Darwen Borough Council,
Blackburn With Darwen Borough Council,-2.8,Public administration and defence; compulsory social security,Blackburn With Darwen Borough Council,
Blackpool Teaching Hospitals Nhs Foundation Trust,4.9,Public Sector,Blackpool Teaching Hospitals Nhs Foundation Trust,
Blackpool Teaching Hospitals Nhs Foundation Trust,4.9,Human health and social work activities,Blackpool Teaching Hospitals Nhs Foundation Trust,
BLANC AERO INDUSTRIES UK LIMITED,3.8,Manufacturing,Blanc Aero Industries Uk,
Blatchington Mill School & Sixth Form College,19.8,Public Sector,Blatchington Mill School & Sixth Form College,
Blatchington Mill School & Sixth Form College,19.8,Education,Blatchington Mill School & Sixth Form College,
Blind Veterans UK,-12.7,Human health and social work activities,Blind Veterans,
BLUEPRINT RECRUITMENT LIMITED,10.5,Administrative and support service activities,Blueprint Recruitment,
BLUESTONE RESORTS LIMITED,3.9,Accommodation and food service activities,Bluestone Resorts,
BLUESTONE RESORTS LIMITED,3.9,"Arts, entertainment and recreation",Bluestone Resorts,
BMB CLOTHING LIMITED,4.5,Wholesale and retail trade; repair of motor vehicles and motorcycles,Bmb Clothing,
BODYCOTE HEAT TREATMENTS LIMITED,9.6,Manufacturing,Bodycote Heat Treatments,
Bohunt Education Trust,29,Public Sector,Bohunt Education Trust,
Bohunt Education Trust,29,Education,Bohunt Education Trust,
Bohunt Education Trust,29,"Arts, entertainment and recreation",Bohunt Education Trust,
Bolsover District Council,0,Public Sector,Bolsover District Council,
Bolsover District Council,0,Public administration and defence; compulsory social security,Bolsover District Council,
BON ACCORD CARE LIMITED,-1.2,Human health and social work activities,Bon Accord Care,
BONDCARE WILLINGTON LIMITED,0,Administrative and support service activities,Bondcare Willington,
Border Holdings (U.K.) Ltd.,3.1,Wholesale and retail trade; repair of motor vehicles and motorcycles,Border Holdings,
BOREAL LIMITED,0,Construction,Boreal,
Borough of Poole,-2.2,Public Sector,Borough Of Poole,
Borough of Poole,-2.2,Public administration and defence; compulsory social security,Borough Of Poole,
BOSTON SCIENTIFIC LIMITED,22,Wholesale and retail trade; repair of motor vehicles and motorcycles,Boston Scientific,
BOSTON SCIENTIFIC LIMITED,22,Human health and social work activities,Boston Scientific,
BOUGHEY DISTRIBUTION LIMITED,10.7,Transportation and storage,Boughey Distribution,
Bournemouth Borough Council,-2.9,Public Sector,Bournemouth Borough Council,
Bournemouth Borough Council,-2.9,Public administration and defence; compulsory social security,Bournemouth Borough Council,
Bournemouth Poole College Further Education,15.6,Public Sector,Bournemouth Poole College Further Education,
Bournemouth Poole College Further Education,15.6,Education,Bournemouth Poole College Further Education,
Bournemouth University,23.3,Education,Bournemouth University,
BOWDRAPER LIMITED,0,Administrative and support service activities,Bowdraper,
BP CHEMICALS LIMITED,-2.8,Manufacturing,Bp Chemicals,
BP EXPLORATION OPERATING COMPANY LIMITED,28.3,Mining and Quarrying,Bp Exploration Operating Company,
BP EXPLORATION OPERATING COMPANY LIMITED,28.3,"Professional, scientific and technical activities",Bp Exploration Operating Company,
BP EXPRESS SHOPPING LIMITED,3.1,Wholesale and retail trade; repair of motor vehicles and motorcycles,Bp Express Shopping,
BP OIL UK LIMITED,14.6,Manufacturing,Bp Oil Uk,
BP P.L.C.,20.8,"Professional, scientific and technical activities",Bp,
BPDTS,-5.5,Public Sector,Bpdts,
Bracknell Forest Council,23.3,Public Sector,Bracknell Forest Council,
Bracknell Forest Council,23.3,Public administration and defence; compulsory social security,Bracknell Forest Council,
Bradford Dictrict Care Foundation Trust,-4.6,Public Sector,Bradford Dictrict Care Foundation Trust,
Bradford Diocesan Academies Trust,44,Public Sector,Bradford Diocesan Academies Trust,
Bradford Diocesan Academies Trust,44,Education,Bradford Diocesan Academies Trust,
Bradford Teaching Hospitals NHS Foundation Trust,3.2,Public Sector,Bradford Teaching Hospitals Nhs Foundation Trust,
Bradford Teaching Hospitals NHS Foundation Trust,3.2,Human health and social work activities,Bradford Teaching Hospitals Nhs Foundation Trust,
BRAEFORGE LIMITED,0.8,Manufacturing,Braeforge,
BRAEFORGE LIMITED,0.8,Wholesale and retail trade; repair of motor vehicles and motorcycles,Braeforge,
Braintree District Council,-22,Public Sector,Braintree District Council,
Braintree District Council,-22,Public administration and defence; compulsory social security,Braintree District Council,
Brampton Manor Trust,22,Public Sector,Brampton Manor Trust,
Brampton Manor Trust,22,Education,Brampton Manor Trust,
BRANDED GARDEN PRODUCTS LIMITED,11.1,Wholesale and retail trade; repair of motor vehicles and motorcycles,Branded Garden Products,
BRANSTON LIMITED,6.3,Manufacturing,Branston,
Breckland District Council,31.3,Public Sector,Breckland District Council,
Breckland District Council,31.3,Public administration and defence; compulsory social security,Breckland District Council,
BREEDON GROUP SERVICES LIMITED,-5.1,Administrative and support service activities,Breedon Group Services,
BREWIN DOLPHIN LIMITED,40.7,Financial and insurance activities,Brewin Dolphin,
Breyer Group PLC,16.2,Construction,Breyer Group,
BRIGGS MARINE CONTRACTORS LIMITED,19.4,Manufacturing,Briggs Marine Contractors,
BRIGGS MARINE CONTRACTORS LIMITED,19.4,Construction,Briggs Marine Contractors,
Bright Futures Educational Trust,27.4,Public Sector,Bright Futures Educational Trust,
