date,name,value
13/10/16,CDU/CSU,34
12/10/16,CDU/CSU,32
12/10/16,CDU/CSU,34
10/10/16,CDU/CSU,29.5
07/10/16,CDU/CSU,34
05/10/16,CDU/CSU,32
05/10/16,CDU/CSU,33
03/10/16,CDU/CSU,30
30/09/16,CDU/CSU,33
28/09/16,CDU/CSU,32
26/09/16,CDU/CSU,30
23/09/16,CDU/CSU,33
22/09/16,CDU/CSU,33
21/09/16,CDU/CSU,32
21/09/16,CDU/CSU,32
19/09/16,CDU/CSU,30
16/09/16,CDU/CSU,33
15/09/16,CDU/CSU,33.5
14/09/16,CDU/CSU,32
14/09/16,CDU/CSU,33
12/09/16,CDU/CSU,30.5
09/09/16,CDU/CSU,32
07/09/16,CDU/CSU,33
05/09/16,CDU/CSU,30.5
02/09/16,CDU/CSU,33
31/08/16,CDU/CSU,34
31/08/16,CDU/CSU,33
29/08/16,CDU/CSU,30.5
26/08/16,CDU/CSU,33
24/08/16,CDU/CSU,34
24/08/16,CDU/CSU,33
22/08/16,CDU/CSU,31
19/08/16,CDU/CSU,35
17/08/16,CDU/CSU,34.5
17/08/16,CDU/CSU,34
15/08/16,CDU/CSU,31
12/08/16,CDU/CSU,36
11/08/16,CDU/CSU,35
10/08/16,CDU/CSU,34
08/08/16,CDU/CSU,31.5
08/08/16,CDU/CSU,34
05/08/16,CDU/CSU,36
03/08/16,CDU/CSU,34
03/08/16,CDU/CSU,34
01/08/16,CDU/CSU,31.5
29/07/16,CDU/CSU,35
27/07/16,CDU/CSU,35
25/07/16,CDU/CSU,31.5
22/07/16,CDU/CSU,35
21/07/16,CDU/CSU,35
20/07/16,CDU/CSU,35
18/07/16,CDU/CSU,32
15/07/16,CDU/CSU,35
14/07/16,CDU/CSU,35.5
13/07/16,CDU/CSU,35
13/07/16,CDU/CSU,33
13/07/16,CDU/CSU,34
11/07/16,CDU/CSU,31
08/07/16,CDU/CSU,36
07/07/16,CDU/CSU,34
06/07/16,CDU/CSU,35
06/07/16,CDU/CSU,34
04/07/16,CDU/CSU,30
01/07/16,CDU/CSU,35
29/06/16,CDU/CSU,33
27/06/16,CDU/CSU,30
24/06/16,CDU/CSU,34
23/06/16,CDU/CSU,34
22/06/16,CDU/CSU,32
20/06/16,CDU/CSU,31
17/06/16,CDU/CSU,33
15/06/16,CDU/CSU,33
15/06/16,CDU/CSU,31
13/06/16,CDU/CSU,30
10/06/16,CDU/CSU,33
09/06/16,CDU/CSU,33.5
06/06/16,CDU/CSU,30
03/06/16,CDU/CSU,34
02/06/16,CDU/CSU,33
01/06/16,CDU/CSU,33
01/06/16,CDU/CSU,32
01/06/16,CDU/CSU,32
30/05/16,CDU/CSU,30
27/05/16,CDU/CSU,34
24/05/16,CDU/CSU,33
23/05/16,CDU/CSU,30.5
20/05/16,CDU/CSU,33
18/05/16,CDU/CSU,32
18/05/16,CDU/CSU,32
17/05/16,CDU/CSU,30.5
13/05/16,CDU/CSU,34
12/05/16,CDU/CSU,33.5
12/05/16,CDU/CSU,33
11/05/16,CDU/CSU,33
09/05/16,CDU/CSU,30.5
06/05/16,CDU/CSU,34
03/05/16,CDU/CSU,32
03/05/16,CDU/CSU,33
02/05/16,CDU/CSU,32
29/04/16,CDU/CSU,34
27/04/16,CDU/CSU,33
25/04/16,CDU/CSU,31
22/04/16,CDU/CSU,33
21/04/16,CDU/CSU,33
20/04/16,CDU/CSU,33
20/04/16,CDU/CSU,33
20/04/16,CDU/CSU,35
18/04/16,CDU/CSU,31.5
15/04/16,CDU/CSU,34
14/04/16,CDU/CSU,33.5
13/04/16,CDU/CSU,33
11/04/16,CDU/CSU,31.5
08/04/16,CDU/CSU,34
07/04/16,CDU/CSU,36
06/04/16,CDU/CSU,34
06/04/16,CDU/CSU,34
04/04/16,CDU/CSU,32
01/04/16,CDU/CSU,35
30/03/16,CDU/CSU,33
29/03/16,CDU/CSU,32
24/03/16,CDU/CSU,36
23/03/16,CDU/CSU,34
22/03/16,CDU/CSU,34
21/03/16,CDU/CSU,33
18/03/16,CDU/CSU,35
17/03/16,CDU/CSU,35
16/03/16,CDU/CSU,34
16/03/16,CDU/CSU,36
14/03/16,CDU/CSU,32
11/03/16,CDU/CSU,35
10/03/16,CDU/CSU,35
09/03/16,CDU/CSU,36
07/03/16,CDU/CSU,32.5
04/03/16,CDU/CSU,35
02/03/16,CDU/CSU,35
29/02/16,CDU/CSU,32.5
27/02/16,CDU/CSU,36
26/02/16,CDU/CSU,35
24/02/16,CDU/CSU,36
24/02/16,CDU/CSU,37
22/02/16,CDU/CSU,32.5
19/02/16,CDU/CSU,35
18/02/16,CDU/CSU,36
17/02/16,CDU/CSU,35
17/02/16,CDU/CSU,37
15/02/16,CDU/CSU,32.5
12/02/16,CDU/CSU,35
11/02/16,CDU/CSU,33.5
10/02/16,CDU/CSU,35
09/02/16,CDU/CSU,32.5
05/02/16,CDU/CSU,36
03/02/16,CDU/CSU,35
02/02/16,CDU/CSU,35
01/02/16,CDU/CSU,33
29/01/16,CDU/CSU,36
28/01/16,CDU/CSU,37
27/01/16,CDU/CSU,34
25/01/16,CDU/CSU,32.5
22/01/16,CDU/CSU,36
21/01/16,CDU/CSU,35
20/01/16,CDU/CSU,36
18/01/16,CDU/CSU,32.5
15/01/16,CDU/CSU,37
14/01/16,CDU/CSU,37
13/01/16,CDU/CSU,38
13/01/16,CDU/CSU,37
11/01/16,CDU/CSU,35
08/01/16,CDU/CSU,38
07/01/16,CDU/CSU,39
06/01/16,CDU/CSU,39
04/01/16,CDU/CSU,36
03/01/16,CDU/CSU,39
23/12/15,CDU/CSU,38
22/12/15,CDU/CSU,39
21/12/15,CDU/CSU,35.5
19/12/15,CDU/CSU,42
18/12/15,CDU/CSU,39
16/12/15,CDU/CSU,38
16/12/15,CDU/CSU,38
14/12/15,CDU/CSU,35
11/12/15,CDU/CSU,39
10/12/15,CDU/CSU,38
10/12/15,CDU/CSU,39
09/12/15,CDU/CSU,37
07/12/15,CDU/CSU,35
04/12/15,CDU/CSU,38
02/12/15,CDU/CSU,37
01/12/15,CDU/CSU,37
30/11/15,CDU/CSU,34.5
27/11/15,CDU/CSU,39
26/11/15,CDU/CSU,39
25/11/15,CDU/CSU,38
23/11/15,CDU/CSU,34.5
22/11/15,CDU/CSU,39
19/11/15,CDU/CSU,37
18/11/15,CDU/CSU,37
18/11/15,CDU/CSU,39
16/11/15,CDU/CSU,35
13/11/15,CDU/CSU,36
12/11/15,CDU/CSU,39
11/11/15,CDU/CSU,37.5
11/11/15,CDU/CSU,37
09/11/15,CDU/CSU,34
06/11/15,CDU/CSU,38
04/11/15,CDU/CSU,36
04/11/15,CDU/CSU,37
02/11/15,CDU/CSU,35.5
30/10/15,CDU/CSU,36
28/10/15,CDU/CSU,36
26/10/15,CDU/CSU,35
23/10/15,CDU/CSU,36
22/10/15,CDU/CSU,39
21/10/15,CDU/CSU,36
21/10/15,CDU/CSU,38
19/10/15,CDU/CSU,37
16/10/15,CDU/CSU,38
16/10/15,CDU/CSU,38
14/10/15,CDU/CSU,37
12/10/15,CDU/CSU,38
09/10/15,CDU/CSU,38
08/10/15,CDU/CSU,41
07/10/15,CDU/CSU,38
07/10/15,CDU/CSU,40
05/10/15,CDU/CSU,39
02/10/15,CDU/CSU,39
30/09/15,CDU/CSU,40
30/09/15,CDU/CSU,40
28/09/15,CDU/CSU,38.5
25/09/15,CDU/CSU,40
24/09/15,CDU/CSU,41
23/09/15,CDU/CSU,40
21/09/15,CDU/CSU,39.5
18/09/15,CDU/CSU,40
16/09/15,CDU/CSU,40
16/09/15,CDU/CSU,42
14/09/15,CDU/CSU,40
12/09/15,CDU/CSU,42
11/09/15,CDU/CSU,41
10/09/15,CDU/CSU,42
09/09/15,CDU/CSU,41
09/09/15,CDU/CSU,42
07/09/15,CDU/CSU,41.5
04/09/15,CDU/CSU,41
02/09/15,CDU/CSU,41
02/09/15,CDU/CSU,42
31/08/15,CDU/CSU,41.5
28/08/15,CDU/CSU,40
26/08/15,CDU/CSU,41
26/08/15,CDU/CSU,42
24/08/15,CDU/CSU,42
21/08/15,CDU/CSU,41
20/08/15,CDU/CSU,42
19/08/15,CDU/CSU,42
17/08/15,CDU/CSU,41
14/08/15,CDU/CSU,43
14/08/15,CDU/CSU,41.5
12/08/15,CDU/CSU,43
12/08/15,CDU/CSU,42
10/08/15,CDU/CSU,42.5
07/08/15,CDU/CSU,43
05/08/15,CDU/CSU,43
03/08/15,CDU/CSU,43
31/07/15,CDU/CSU,41
29/07/15,CDU/CSU,43
29/07/15,CDU/CSU,42
27/07/15,CDU/CSU,41.5
24/07/15,CDU/CSU,42
23/07/15,CDU/CSU,41
22/07/15,CDU/CSU,43
22/07/15,CDU/CSU,42
20/07/15,CDU/CSU,42
17/07/15,CDU/CSU,41
15/07/15,CDU/CSU,43
15/07/15,CDU/CSU,41
13/07/15,CDU/CSU,40.5
13/07/15,CDU/CSU,42
10/07/15,CDU/CSU,42
08/07/15,CDU/CSU,42
06/07/15,CDU/CSU,43
03/07/15,CDU/CSU,42
02/07/15,CDU/CSU,41
01/07/15,CDU/CSU,40
01/07/15,CDU/CSU,40
29/06/15,CDU/CSU,39.5
26/06/15,CDU/CSU,42
24/06/15,CDU/CSU,41
24/06/15,CDU/CSU,42
22/06/15,CDU/CSU,40
19/06/15,CDU/CSU,41
17/06/15,CDU/CSU,40
17/06/15,CDU/CSU,40
15/06/15,CDU/CSU,41
14/06/15,CDU/CSU,41.5
12/06/15,CDU/CSU,41
11/06/15,CDU/CSU,41
10/06/15,CDU/CSU,40
08/06/15,CDU/CSU,40
05/06/15,CDU/CSU,41
02/06/15,CDU/CSU,40
02/06/15,CDU/CSU,40
01/06/15,CDU/CSU,41
29/05/15,CDU/CSU,40
27/05/15,CDU/CSU,40
25/05/15,CDU/CSU,41
22/05/15,CDU/CSU,39
21/05/15,CDU/CSU,40
20/05/15,CDU/CSU,40
20/05/15,CDU/CSU,41
18/05/15,CDU/CSU,40.5
15/05/15,CDU/CSU,40
13/05/15,CDU/CSU,41
12/05/15,CDU/CSU,40
11/05/15,CDU/CSU,41.5
08/05/15,CDU/CSU,41.5
08/05/15,CDU/CSU,41
06/05/15,CDU/CSU,40
06/05/15,CDU/CSU,40
04/05/15,CDU/CSU,41
30/04/15,CDU/CSU,42
29/04/15,CDU/CSU,41
27/04/15,CDU/CSU,40.5
24/04/15,CDU/CSU,42
22/04/15,CDU/CSU,41
22/04/15,CDU/CSU,41
20/04/15,CDU/CSU,41
17/04/15,CDU/CSU,42
16/04/15,CDU/CSU,41
15/04/15,CDU/CSU,41
15/04/15,CDU/CSU,42
13/04/15,CDU/CSU,41
10/04/15,CDU/CSU,40.5
10/04/15,CDU/CSU,42
08/04/15,CDU/CSU,41
07/04/15,CDU/CSU,42
02/04/15,CDU/CSU,42
01/04/15,CDU/CSU,42
01/04/15,CDU/CSU,41
30/03/15,CDU/CSU,43
27/03/15,CDU/CSU,42
26/03/15,CDU/CSU,41
25/03/15,CDU/CSU,42
23/03/15,CDU/CSU,42
23/03/15,CDU/CSU,41
20/03/15,CDU/CSU,41
17/03/15,CDU/CSU,41
16/03/15,CDU/CSU,41
13/03/15,CDU/CSU,41
12/03/15,CDU/CSU,41.5
12/03/15,CDU/CSU,43
11/03/15,CDU/CSU,41
11/03/15,CDU/CSU,41
09/03/15,CDU/CSU,41
06/03/15,CDU/CSU,41
04/03/15,CDU/CSU,40
04/03/15,CDU/CSU,41
02/03/15,CDU/CSU,41
27/02/15,CDU/CSU,41
26/02/15,CDU/CSU,41
25/02/15,CDU/CSU,41
23/02/15,CDU/CSU,42
23/02/15,CDU/CSU,41
20/02/15,CDU/CSU,42
18/02/15,CDU/CSU,41
17/02/15,CDU/CSU,42
13/02/15,CDU/CSU,43
12/02/15,CDU/CSU,41
11/02/15,CDU/CSU,41
11/02/15,CDU/CSU,42
09/02/15,CDU/CSU,40.5
06/02/15,CDU/CSU,42
04/02/15,CDU/CSU,40
04/02/15,CDU/CSU,41
02/02/15,CDU/CSU,41
30/01/15,CDU/CSU,42
29/01/15,CDU/CSU,41
28/01/15,CDU/CSU,40
26/01/15,CDU/CSU,42
23/01/15,CDU/CSU,42
23/01/15,CDU/CSU,41.5
21/01/15,CDU/CSU,41
19/01/15,CDU/CSU,42
19/01/15,CDU/CSU,42
16/01/15,CDU/CSU,42
15/01/15,CDU/CSU,42
14/01/15,CDU/CSU,42
14/01/15,CDU/CSU,41
12/01/15,CDU/CSU,43
09/01/15,CDU/CSU,42
07/01/15,CDU/CSU,43
07/01/15,CDU/CSU,41
05/01/15,CDU/CSU,42
05/01/15,CDU/CSU,42.5
20/12/14,CDU/CSU,42
17/12/14,CDU/CSU,42
17/12/14,CDU/CSU,42
15/12/14,CDU/CSU,42
15/12/14,CDU/CSU,41.5
12/12/14,CDU/CSU,40.5
12/12/14,CDU/CSU,43
11/12/14,CDU/CSU,42
10/12/14,CDU/CSU,41
08/12/14,CDU/CSU,41
05/12/14,CDU/CSU,41
03/12/14,CDU/CSU,41
03/12/14,CDU/CSU,40
01/12/14,CDU/CSU,41.5
28/11/14,CDU/CSU,41
27/11/14,CDU/CSU,41
26/11/14,CDU/CSU,41
24/11/14,CDU/CSU,42
24/11/14,CDU/CSU,41
21/11/14,CDU/CSU,42
19/11/14,CDU/CSU,42
19/11/14,CDU/CSU,41
17/11/14,CDU/CSU,40
14/11/14,CDU/CSU,42
13/11/14,CDU/CSU,40.5
13/11/14,CDU/CSU,41
12/11/14,CDU/CSU,41
10/11/14,CDU/CSU,41
07/11/14,CDU/CSU,41
05/11/14,CDU/CSU,41
05/11/14,CDU/CSU,41
05/11/14,CDU/CSU,41
31/10/14,CDU/CSU,41
29/10/14,CDU/CSU,41
27/10/14,CDU/CSU,41
24/10/14,CDU/CSU,41
23/10/14,CDU/CSU,41
22/10/14,CDU/CSU,41
22/10/14,CDU/CSU,40
20/10/14,CDU/CSU,40.5
20/10/14,CDU/CSU,41
17/10/14,CDU/CSU,41
16/10/14,CDU/CSU,39.5
15/10/14,CDU/CSU,42
13/10/14,CDU/CSU,40
10/10/14,CDU/CSU,40
09/10/14,CDU/CSU,41
08/10/14,CDU/CSU,42
06/10/14,CDU/CSU,39
02/10/14,CDU/CSU,41
01/10/14,CDU/CSU,41
01/10/14,CDU/CSU,41
29/09/14,CDU/CSU,38.5
26/09/14,CDU/CSU,42
25/09/14,CDU/CSU,41
24/09/14,CDU/CSU,40
24/09/14,CDU/CSU,39
22/09/14,CDU/CSU,39.5
22/09/14,CDU/CSU,41
19/09/14,CDU/CSU,42
17/09/14,CDU/CSU,40
15/09/14,CDU/CSU,39
12/09/14,CDU/CSU,41
11/09/14,CDU/CSU,41
10/09/14,CDU/CSU,41
08/09/14,CDU/CSU,39.5
05/09/14,CDU/CSU,42
04/09/14,CDU/CSU,42
03/09/14,CDU/CSU,42
03/09/14,CDU/CSU,40
01/09/14,CDU/CSU,40
29/08/14,CDU/CSU,41
27/08/14,CDU/CSU,43
27/08/14,CDU/CSU,42
25/08/14,CDU/CSU,42
22/08/14,CDU/CSU,42
21/08/14,CDU/CSU,41
20/08/14,CDU/CSU,41
18/08/14,CDU/CSU,41
18/08/14,CDU/CSU,41
15/08/14,CDU/CSU,42
13/08/14,CDU/CSU,41
11/08/14,CDU/CSU,42
08/08/14,CDU/CSU,42
06/08/14,CDU/CSU,41
06/08/14,CDU/CSU,41
05/08/14,CDU/CSU,41
04/08/14,CDU/CSU,41
01/08/14,CDU/CSU,43
30/07/14,CDU/CSU,42
28/07/14,CDU/CSU,40
25/07/14,CDU/CSU,43
23/07/14,CDU/CSU,41
21/07/14,CDU/CSU,41
21/07/14,CDU/CSU,40
18/07/14,CDU/CSU,43
17/07/14,CDU/CSU,41
16/07/14,CDU/CSU,40
16/07/14,CDU/CSU,40
14/07/14,CDU/CSU,40
11/07/14,CDU/CSU,40.5
11/07/14,CDU/CSU,41
09/07/14,CDU/CSU,40
07/07/14,CDU/CSU,40
04/07/14,CDU/CSU,41
02/07/14,CDU/CSU,40
02/07/14,CDU/CSU,39
30/06/14,CDU/CSU,41
27/06/14,CDU/CSU,41
25/06/14,CDU/CSU,40
25/06/14,CDU/CSU,39
23/06/14,CDU/CSU,39
23/06/14,CDU/CSU,40.5
20/06/14,CDU/CSU,41
18/06/14,CDU/CSU,39
17/06/14,CDU/CSU,39
16/06/14,CDU/CSU,39.5
13/06/14,CDU/CSU,40
13/06/14,CDU/CSU,39
11/06/14,CDU/CSU,39
10/06/14,CDU/CSU,39
06/06/14,CDU/CSU,39
04/06/14,CDU/CSU,39
04/06/14,CDU/CSU,39
04/06/14,CDU/CSU,38
02/06/14,CDU/CSU,38
30/05/14,CDU/CSU,38
27/05/14,CDU/CSU,39
26/05/14,CDU/CSU,39
23/05/14,CDU/CSU,40
21/05/14,CDU/CSU,39
19/05/14,CDU/CSU,40
16/05/14,CDU/CSU,40
14/05/14,CDU/CSU,39
14/05/14,CDU/CSU,39
12/05/14,CDU/CSU,41
12/05/14,CDU/CSU,40
09/05/14,CDU/CSU,39.5
09/05/14,CDU/CSU,40
08/05/14,CDU/CSU,40
07/05/14,CDU/CSU,40
05/05/14,CDU/CSU,41
02/05/14,CDU/CSU,41
29/04/14,CDU/CSU,40
29/04/14,CDU/CSU,40
28/04/14,CDU/CSU,41.5
25/04/14,CDU/CSU,41
23/04/14,CDU/CSU,41
23/04/14,CDU/CSU,41
21/04/14,CDU/CSU,41
17/04/14,CDU/CSU,41
16/04/14,CDU/CSU,40
15/04/14,CDU/CSU,41
14/04/14,CDU/CSU,40.5
11/04/14,CDU/CSU,41
10/04/14,CDU/CSU,40
10/04/14,CDU/CSU,41
09/04/14,CDU/CSU,42
07/04/14,CDU/CSU,41
04/04/14,CDU/CSU,42
02/04/14,CDU/CSU,41
02/04/14,CDU/CSU,41
31/03/14,CDU/CSU,41
28/03/14,CDU/CSU,42
27/03/14,CDU/CSU,41
26/03/14,CDU/CSU,41
26/03/14,CDU/CSU,41
24/03/14,CDU/CSU,41
21/03/14,CDU/CSU,41
19/03/14,CDU/CSU,41
17/03/14,CDU/CSU,40.5
17/03/14,CDU/CSU,41
14/03/14,CDU/CSU,42
13/03/14,CDU/CSU,40.5
13/03/14,CDU/CSU,41
12/03/14,CDU/CSU,41
10/03/14,CDU/CSU,41
07/03/14,CDU/CSU,42
05/03/14,CDU/CSU,42
05/03/14,CDU/CSU,42
03/03/14,CDU/CSU,41
28/02/14,CDU/CSU,40
26/02/14,CDU/CSU,40
26/02/14,CDU/CSU,40
24/02/14,CDU/CSU,41
24/02/14,CDU/CSU,40.5
21/02/14,CDU/CSU,41
20/02/14,CDU/CSU,43
19/02/14,CDU/CSU,41
17/02/14,CDU/CSU,41
14/02/14,CDU/CSU,40
13/02/14,CDU/CSU,40
12/02/14,CDU/CSU,41
10/02/14,CDU/CSU,41
07/02/14,CDU/CSU,41
05/02/14,CDU/CSU,42
05/02/14,CDU/CSU,41
03/02/14,CDU/CSU,41.5
31/01/14,CDU/CSU,42
30/01/14,CDU/CSU,43
29/01/14,CDU/CSU,42
29/01/14,CDU/CSU,42
27/01/14,CDU/CSU,41
24/01/14,CDU/CSU,42
23/01/14,CDU/CSU,40
22/01/14,CDU/CSU,41
20/01/14,CDU/CSU,41
20/01/14,CDU/CSU,42
17/01/14,CDU/CSU,41
16/01/14,CDU/CSU,43
15/01/14,CDU/CSU,41
13/01/14,CDU/CSU,41
10/01/14,CDU/CSU,40
08/01/14,CDU/CSU,42
08/01/14,CDU/CSU,41
06/01/14,CDU/CSU,41.5
03/01/14,CDU/CSU,41
18/12/13,CDU/CSU,41
18/12/13,CDU/CSU,42
16/12/13,CDU/CSU,42
13/12/13,CDU/CSU,42
12/12/13,CDU/CSU,41.5
12/12/13,CDU/CSU,42
11/12/13,CDU/CSU,42
09/12/13,CDU/CSU,43
09/12/13,CDU/CSU,42
